code_gene,nom_bdcarthage,dtg_bathy,lon,lat,prof
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11128","44,98965","0,8"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11129","44,98939","0,9"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,1113","44,98913","0,9"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11245","44,99264","0,7"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,1178","44,99731","0,7"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11932","45,00373","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,1204","44,9995",1
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12032","44,9994",1
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12023","44,9993",1
S1215013,ETANG DE LACANAU,28/07/2008,"-1,1201","44,99915","1,1"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11983","44,99898",1
S1215013,ETANG DE LACANAU,28/07/2008,"-1,1195","44,99882","0,9"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11915","44,99866",1
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11881","44,99849","1,2"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11849","44,99831","1,2"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11818","44,99812","1,1"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11451","44,99504","0,7"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11792","44,99755","0,7"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11469","44,99515","0,9"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11597","44,99225","1,1"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11741","44,99687",1
S1215013,ETANG DE LACANAU,28/07/2008,"-1,10495","44,98063","3,6"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11683","44,99643","1,1"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11652","44,99623","1,1"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11626","44,99605","1,1"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11601","44,99587",1
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11572","44,99571","0,9"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11554","44,99561","0,9"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11531","44,99549","0,8"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12052","44,99974","1,1"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,118","44,99786","0,9"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11934","45,00374","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11936","45,00376","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11936","45,00376","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11936","45,00376","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11936","45,00375","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11936","45,00375","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11935","45,00375","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11935","45,00374","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11935","45,00374","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11934","45,00374","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11934","45,00374","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11934","45,00374","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11934","45,00374","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11935","45,00376","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11934","45,00374","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11934","45,00374","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11934","45,00374","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11934","45,00374","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11934","45,00374","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11934","45,00374","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11934","45,00374","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11934","45,00374","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11934","45,00374","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11934","45,00374","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11932","45,00373","0,4"
